10:1,10:1   ,10:1,10:1,10:1   ,10:1,10:1,10:1   ,10:1, 9  , 9  ,10:1,10:1   ,10:1,10:1,10:1   ,10:1,10  , 7:1, 7  ,-1:1   ,-1:1,-1:1,-1:1,-1:1,-1:1   ,-1:1,-1:1,-1:1,-1:1,-1:1   ,-1:1,-1:1,-1:1,-1:1;
10:1,10:1:37,10:1,10:1,10:1:37,10:1,10:1,10:1:37,10:1, 9  , 9  ,10:1,10:1:37,10:1,10:1,10:1:37,10:1, 7:1, 7  , 7  ,-1:1   ,-1:1,-1:1,-1:1,-1:1,-1:1   ,-1:1,-1:1,-1:1,-1:1,-1:1   ,-1:1,-1:1,-1:1,-1:1;
10:1,10:1   ,10:1,10:1,10:1   ,10:1,10:1,10:1   ,10:1, 9  , 9  ,10:1,10:1   ,10:1,10:1,10:1   ,10:1, 7:1, 7  , 7  ,-1:1   ,-1:1,-1:1,-1:1,-1:1,-1:1   ,-1:1,-1:1,-1:1,-1:1,-1:1   ,-1:1,-1:1,-1:1,-1:1;
10:1,10:1:37,10:1,10:1,10:1:37,10:1,10:1,10:1:37,10:1, 9  , 9  ,10:1,10:1:37,10:1,10:1,10:1:37,10:1, 7:1, 7  , 7  ,-1:1   ,-1:1,-1:1,-1:1,-1:1,-1:1   ,-1:1,-1:1,-1:1,-1:1,-1:1   ,-1:1,-1:1,-1:1,-1:1;
10:1,10:1   ,10:1,10:1,10:1   ,10:1,10:1,10:1   ,10:1, 9  , 9  ,10:1,10:1   ,10:1,10:1,10:1   ,10:1, 7:1, 7  , 7  , 7     , 7  , 7  , 7  , 7  , 7     , 7  , 7  , 7  , 7  , 7     , 7  , 7  , 7  , 7  ;
10:1,10:1:37,10:1,10:1,10:1:37,10:1,10:1,10:1:37,10:1, 9  , 9  ,10:1,10:1:37,10:1,10:1,10:1:37,10:1, 7:1, 7  , 7  , 7     , 7  , 7  , 7  , 7  , 7     , 7  , 7  , 7  , 7  , 7     , 7  , 7  , 7  , 7  ;
10:1,10:1   ,10:1,10:1,10:1   ,10:1,10:1,10:1   ,10:1, 9  , 9  ,10:1,10:1   ,10:1,10:1,10:1   ,10:1, 7:1, 7  , 7  , 7:1   , 7:1, 7:1, 7:1, 7:1, 7:1   , 7:1, 7:1, 7:1, 7:1, 7:1   , 7:1, 7:1, 7:1, 7:1;
10:1,10:1:37,10:1,10:1,10:1:37,10:1,10:1,10:1:37,10:1, 9  , 9  ,10:1,10:1:37,10:1,10:1,10:1:37,10:1,10  , 7:1, 7:1,10     ,10  ,10  ,10  ,10  ,10     ,10  ,10  ,10  ,10  ,10     ,10  ,10  ,10  ,10  ;
10  , 7:1,10     ,10  ,10:1,10:1   ,10:1,10  ,10     , 9  , 9  ,10:1,10:1   ,10:1,10:1,10:1   ,10:1,10  ,10  ,10:1,10:1   ,10:1,10  ,10  ,10:1,10:1   ,10:1,10  ,10  ,10:1,10:1   ,10:1,10  ,10  ,10  ;
 7:1, 7  , 7:1   ,10  ,10:1,10:1:37,10:1,10  ,10     , 9  , 9  ,10:1,10:1:37,10:1,10:1,10:1:37,10:1,10  ,10  ,10:1,10:1:37,10:1,10  ,10  ,10:1,10:1:37,10:1,10  ,10  ,10:1,10:1:37,10:1,10  ,10  ,10  ;
 7  , 7  , 7:1   ,10  ,10  ,10     ,10  ,10  ,10     , 9  , 9  , 9  , 9     , 9  , 9  , 9     , 9  , 9  , 9  , 9  , 9     , 9  , 9  , 9  , 9  , 9     , 9  , 9  , 9  , 9  , 9     , 9  , 9  , 9  , 9  ;
 7  , 7  , 7:1   ,10  ,10  ,10     ,10  ,10  ,10     ,10  , 9  , 9  , 9     , 9  , 9  , 9     , 9  , 9  , 9  , 9  , 9     , 9  , 9  , 9  , 9  , 9     , 9  , 9  , 9  , 9  , 9     , 9  , 9  , 9  , 9  ;
 7  , 7  , 7:1   ,10  ,10  ,10     ,10  ,10  ,10     ,10  ,10  ,10  ,10     ,10  ,10:1,10:1   ,10:1,10  ,10  ,10:1,10:1   ,10:1,10  ,10  ,10:1,10:1   ,10:1,10  ,10  ,10:1,10:1   ,10:1,10  ,10  ,10  ;
 7  , 7  , 7:1   ,10  ,10  ,10     ,10  ,10  ,10     ,10  ,10  ,10  ,10     ,10  ,10:1,10:1:37,10:1,10  ,10  ,10:1,10:1:37,10:1,10  ,10  ,10:1,10:1:37,10:1,10  ,10  ,10:1,10:1:37,10:1,10  ,10  ,10  ;
 7  , 7  , 7     , 7:1,10  ,10     ,10  ,10  ,10     ,10  ,10  ,10  ,10     ,10  , 7:1,10     ,10  ,10  ,10  ,10  ,10     ,10  ,10  ,10  ,10  ,10     ,10  ,10  ,10  ,10  ,10     ,10  ,10  ,10  ,10  ;
 7  , 7  , 7     , 7  , 7:1,10     ,10  ,10  ,10     ,10  ,10  ,10  ,10     ,10  , 7:1, 7:1   , 7:1, 7:1, 7:1, 7:1, 7:1   , 7:1, 7:1, 7:1, 7:1, 7:1   , 7:1, 7:1, 7:1, 7:1, 7:1   , 7:1, 7:1, 7:1, 7:1;
